angle_deg,distance_mm
184.0546875,482
184.359375,481
184.7890625,480
185.21875,480
185.7734375,479
186.203125,478
186.6328125,478
186.9375,477
187.3671875,476
187.671875,476
188.1015625,475
188.53125,475
189.0859375,474
189.515625,474
190.0703125,474
190.375,474
190.8046875,474
191.234375,475
191.6640625,474
192.09375,473
192.521484375,473
192.82421875,474
194.91015625,493
195.212890625,494
196.673828125,472
197.3515625,473
197.779296875,473
197.95703125,473
198.384765625,474
198.8125,474
199.240234375,475
199.79296875,476
200.220703125,476
200.6484375,476
201.076171875,476
201.62890625,477
202.056640625,477
202.359375,477
202.662109375,477
203.08984375,477
203.767578125,477
204.92578125,477
205.478515625,479
205.65625,479
206.0908203125,480
209.3173828125,453
209.876953125,448
210.1865234375,446
211.0556640625,449
211.490234375,447
211.9248046875,445
212.484375,448
213.5380859375,419
213.84765625,416
214.5322265625,414
214.716796875,413
215.4013671875,411
215.4609375,410
216.3955078125,410
216.705078125,411
217.0146484375,411
217.57421875,412
217.7587890625,414
218.193359375,416
218.5029296875,413
218.9375,411
219.49267578125,412
223.4892578125,391
223.54443359375,392
224.349609375,392
224.65478515625,389
225.2099609375,388
225.39013671875,389
225.9453125,387
226.12548828125,386
226.6806640625,385
226.86083984375,385
229.9970703125,382
230.30224609375,380
230.982421875,379
227.28759765625,375
231.8427734375,373
232.14794921875,373
232.578125,372
232.8837890625,373
234.42578125,380
235.8427734375,389
236.1484375,392
239.4130859375,413
239.71875,408
242.302734375,407
242.9833984375,406
245.5673828125,409
247.642578125,377
248.0703125,381
248.873046875,382
249.17578125,382
253.328125,383
253.630859375,384
262.119140625,1030
262.546875,1028
262.97607421875,1023
263.4052734375,1019
263.83447265625,1017
264.263671875,1014
264.69287109375,1009
265.1220703125,1005
265.42626953125,1001
265.98046875,998
266.28466796875,993
266.8388671875,989
267.26806640625,987
267.697265625,984
268.12646484375,982
268.5556640625,981
268.98486328125,979
269.4140625,975
269.84326171875,974
270.1474609375,972
270.70166015625,968
271.005859375,966
271.43505859375,963
271.8642578125,962
272.29345703125,960
272.84765625,959
273.15185546875,958
273.5810546875,957
274.13525390625,955
274.439453125,947
274.86865234375,942
275.2978515625,944
275.85205078125,956
277.2421875,676
277.669921875,676
278.09765625,675
278.525390625,673
278.953125,673
279.380859375,673
279.93359375,671
280.236328125,670
280.6640625,669
281.091796875,668
281.51953125,668
281.947265625,667
282.5,666
282.802734375,665
283.10546875,664
283.658203125,663
283.9609375,662
284.513671875,662
284.94140625,661
285.369140625,660
285.796875,660
286.099609375,660
286.65234375,660
287.080078125,659
287.5078125,659
287.935546875,659
288.36328125,660
288.791015625,660
289.09375,658
289.521484375,659
290.07421875,661
290.626953125,661
290.9296875,661
291.232421875,661
291.78515625,662
292.212890625,661
292.640625,661
293.193359375,663
293.37109375,663
293.923828125,664
294.2265625,664
294.779296875,664
295.33203125,665
295.759765625,666
296.1875,667
296.615234375,667
296.91796875,668
297.470703125,669
297.7734375,670
298.201171875,672
298.75390625,673
299.056640625,673
299.609375,674
299.912109375,676
300.33984375,676
300.767578125,677
301.3203125,679
301.623046875,680
302.17578125,681
302.603515625,683
302.90625,685
303.33349609375,687
303.7607421875,688
304.31298828125,689
304.740234375,691
305.16748046875,693
305.7197265625,696
305.89697265625,697
306.32421875,698
307.00146484375,701
307.3037109375,704
307.85595703125,706
308.033203125,708
308.58544921875,710
309.0126953125,711
309.56494140625,713
309.9921875,716
310.29443359375,719
310.8466796875,722
311.14892578125,725
311.701171875,728
312.12841796875,731
312.5556640625,733
312.85791015625,736
313.41015625,738
313.83740234375,742
314.2646484375,746
314.69189453125,750
315.119140625,753
316.65087890625,880
317.078125,870
317.505859375,859
317.80859375,847
318.361328125,835
318.6640625,825
319.091796875,817
319.39453125,809
319.947265625,799
320.25,789
320.802734375,780
321.10546875,772
321.658203125,763
321.8359375,754
322.388671875,747
322.81640625,739
323.244140625,731
323.671875,724
323.974609375,717
324.40234375,710
324.705078125,703
325.2578125,696
325.560546875,690
326.11328125,684
326.291015625,678
326.96875,671
327.271484375,666
327.69921875,660
328.001953125,652
328.5546875,646
328.857421875,642
329.41015625,637
329.587890625,633
330.140625,629
330.56689453125,623
330.9931640625,618
331.41943359375,614
331.845703125,610
332.27197265625,605
332.5732421875,602
328.35205078125,363
329.0283203125,357
329.20458984375,353
333.630859375,351
330.43212890625,348
330.7333984375,345
330.90966796875,341
331.3359375,337
332.26220703125,333
332.5634765625,330
333.36474609375,326
333.416015625,322
333.96728515625,318
334.5185546875,313
335.31982421875,310
335.24609375,307
335.92236328125,305
336.7236328125,300
337.02490234375,293
337.951171875,291
337.62744140625,292
338.4287109375,292
344.7900390625,410
344.966796875,416
345.6435546875,420
346.1953125,424
346.4970703125,426
347.048828125,427
347.4755859375,427
347.77734375,427
348.0791015625,426
348.630859375,424
348.9326171875,418
349.359375,415
